Transaction_ID,Product_ID,Store_ID,Transaction_Date,Category,Lag_Sales,Rolling_Demand,Demand_Spike_Indicator
66a822dd-eb2c-4756-9969-5f2c368e921f,PRD-0020,STR-026,2023-01-01,Health & Beauty,51.42,1030.45,0
75f6cbad-5ae7-408f-85bf-8460faf1957e,PRD-0036,STR-009,2023-01-02,Home & Garden,454.83,1858.72,0
3c5ab0d8-6022-4236-86ba-836036cb25bb,PRD-0086,STR-005,2023-01-01,Apparel,232.98,1691.47,0
78a64e6d-c1cb-45b5-9a56-b6b72e51e817,PRD-0190,STR-015,2023-01-01,Health & Beauty,122.12,1079.23,0
9ecb90dc-a1fe-4c58-8538-242c09078ddc,PRD-0194,STR-032,2023-01-01,Grocery,162.61,1862.5,0
61ccc410-b89d-4483-86ab-c8b0110838de,PRD-0078,STR-048,2023-01-01,Apparel,364.99,353.19,0
7877ecbe-3cbe-4de6-95bd-91e694d345a2,PRD-0084,STR-021,2023-01-01,Automotive,1.36,1107.02,0
d9d30a96-67e6-428c-b3fc-fb9899e6fab0,PRD-0198,STR-038,2023-01-02,Apparel,266.27,1291.05,1
71ca386e-db9d-435c-9afe-8f88396ace5d,PRD-0144,STR-010,2023-01-02,Electronics,143.59,235.33,0
6f97a6dd-7477-456a-a617-859501a685db,PRD-0053,STR-048,2023-01-01,Electronics,180.37,1678.89,0
6459fd1c-b442-4f1e-a948-cc6def6da3d7,PRD-0154,STR-021,2023-01-02,Electronics,0.7,1341.59,0
c21bf669-61be-4e70-829a-f11d2ddb94a9,PRD-0040,STR-031,2023-01-01,Automotive,314.55,1318.7,0
32469dfa-598d-45dc-998c-b761331420ec,PRD-0053,STR-024,2023-01-02,Home & Garden,8.61,1482.64,0
dc66b25c-06de-4f14-9705-6577eb3b539d,PRD-0135,STR-013,2023-01-02,Sports & Outdoors,43.19,1859.64,0
1596bdb8-861e-4736-8bf0-27156829ffd6,PRD-0161,STR-027,2023-01-02,Toys & Games,199.98,1668.6,0
a54b946d-20fd-440b-afc0-b195b82933ee,PRD-0068,STR-011,2023-01-01,Grocery,445.57,1075.36,0
bcc5aa29-4edb-4590-a0f3-597d00b9c3f8,PRD-0143,STR-021,2023-01-03,Apparel,115.45,875.41,0
f8b41857-275d-4aa7-9c25-7c706ea08f39,PRD-0049,STR-005,2023-01-02,Toys & Games,129.6,325.75,0
d52dbd5c-a07a-4e8e-95ad-eaa3164147e3,PRD-0120,STR-028,2023-01-02,Health & Beauty,103.03,675.72,0
e7190071-90f1-4416-8e02-947d477b2c90,PRD-0039,STR-020,2023-01-02,Apparel,493.11,1657.17,0
501bf622-607d-4aab-a38e-963050b0caa6,PRD-0081,STR-043,2023-01-03,Health & Beauty,110.14,1608.75,0
43cb6044-18f2-4bb7-9e6d-ac81d453b360,PRD-0096,STR-013,2023-01-01,Apparel,65.21,1592.16,0
88aa4c33-2ae0-4f9b-90b7-a3c792bd6f42,PRD-0070,STR-011,2023-01-01,Grocery,83.9,468.21,1
37d7bc56-0819-4d8f-9525-cb782bfcae7e,PRD-0100,STR-005,2023-01-02,Apparel,404.74,364.31,0
9a73e40d-e03f-4a5d-a8e4-0381a5ccfc5a,PRD-0137,STR-016,2023-01-02,Automotive,192.8,1780.1,0
ee4c6c06-c6f2-4828-927f-171047a8b3a0,PRD-0008,STR-013,2023-01-03,Electronics,16.04,1600.68,1
5226ce27-4f31-476d-8a6d-636a7b8ce947,PRD-0029,STR-016,2023-01-04,Apparel,31.68,1710.01,0
2ec57a7e-6589-4872-849d-245548338e2f,PRD-0099,STR-040,2023-01-03,Electronics,59.39,121.65,1
bf59ae6d-73f1-4c40-836b-3e149302008d,PRD-0146,STR-034,2023-01-03,Apparel,167.02,873.43,0
dc0aa3a7-ec9d-4402-91e5-63a5beafe2cb,PRD-0101,STR-018,2023-01-03,Automotive,392.2,996.7,0
c2920d97-c332-4434-a39d-977adf0bebb7,PRD-0153,STR-020,2023-01-04,Automotive,80.33,28.77,0
30727357-4002-4247-b950-cc84970e9f97,PRD-0162,STR-001,2023-01-03,Electronics,333.64,1438.6,0
03235948-fe38-4ada-bd90-58aeb914ca3e,PRD-0072,STR-021,2023-01-02,Toys & Games,329.38,1446.28,1
48e75ab7-126b-49fb-8964-a566b2948315,PRD-0165,STR-031,2023-01-04,Toys & Games,121.01,1480.06,0
6eccca7e-1712-466d-bd48-d3e9f9e2bf90,PRD-0172,STR-040,2023-01-04,Health & Beauty,348.6,101.38,0
105a8487-00d6-4ce8-a84f-7e9aec113a31,PRD-0123,STR-049,2023-01-04,Home & Garden,91.63,366.63,0
2c78aa57-10d6-4c85-9326-617b396adfc7,PRD-0189,STR-009,2023-01-03,Apparel,151.63,904.8,0
7c7d7a11-9447-4d49-aed0-46493a0cd5ef,PRD-0089,STR-025,2023-01-02,Grocery,274.62,1155.43,0
b27f3843-a4c1-4bd5-a7ed-d14847d9696e,PRD-0106,STR-041,2023-01-03,Sports & Outdoors,11.21,1511.27,1
b0dcf6a5-b9a4-485f-b842-94b908fb7cb7,PRD-0039,STR-025,2023-01-02,Home & Garden,208.5,1585.91,0
f23bdcea-ece8-4a75-b344-cce9981bc52a,PRD-0143,STR-048,2023-01-04,Apparel,166.73,51.18,0
1d7ca370-5061-44a2-9d72-d586663961b3,PRD-0083,STR-018,2023-01-05,Toys & Games,98.34,1005.61,0
b1c48b90-6618-448e-8479-41ceb4c5be68,PRD-0027,STR-008,2023-01-03,Electronics,170.77,675.82,0
99c95d8b-3648-46d0-a400-9dbe0bae25b2,PRD-0154,STR-031,2023-01-04,Electronics,439.66,1401.61,0
e1b64933-7bc6-4870-8f30-7d183f362ce4,PRD-0082,STR-035,2023-01-04,Health & Beauty,380.38,1931.39,1
fb7f682d-01f6-457d-b2c6-e7cde4bcb5fb,PRD-0178,STR-002,2023-01-03,Automotive,242.04,1083.64,0
3dc1aee7-4310-4c91-a1bc-281bc43c7b2e,PRD-0139,STR-002,2023-01-03,Health & Beauty,40.7,811.49,0
71d09345-e567-4ff9-8df0-41232b2c12af,PRD-0026,STR-023,2023-01-05,Home & Garden,51.07,1802.91,0
a0fee18f-4721-42bf-b488-b4ec08d1f737,PRD-0046,STR-026,2023-01-03,Home & Garden,93.47,1259.89,0
0dee9855-e43b-4f4d-8871-d96c3f9d6a88,PRD-0086,STR-019,2023-01-03,Home & Garden,132.63,667.86,0
9e1b1ba9-bfde-45b6-98d9-2767da4ab8d8,PRD-0089,STR-045,2023-01-03,Home & Garden,158.84,351.57,0
ca7a794c-be4b-4397-9eca-f51cd5093871,PRD-0126,STR-043,2023-01-06,Grocery,370.51,1398.68,0
45a51337-b778-4600-89ce-69b1d033b083,PRD-0152,STR-019,2023-01-03,Grocery,64.46,1172.42,0
dacd2743-b87b-4b58-a96b-907d1460dffe,PRD-0076,STR-022,2023-01-05,Toys & Games,46.19,1437.12,0
9a025e36-7e90-4c73-8122-d55da888e876,PRD-0039,STR-028,2023-01-04,Toys & Games,437.75,828.69,0
bc3ee59f-8f6a-4ce9-b21f-e4d6f5399f16,PRD-0001,STR-005,2023-01-03,Electronics,101.74,782.9,1
54223429-b658-44f9-b381-2601d2e5df54,PRD-0001,STR-046,2023-01-05,Grocery,194.62,46.49,0
43f0f8f9-1186-43c5-b622-bd489feebbfc,PRD-0178,STR-011,2023-01-06,Apparel,256.6,1691.94,0
b7c30ef1-36a8-4895-8bd3-40e001df8a0b,PRD-0171,STR-037,2023-01-03,Home & Garden,408.39,1708.13,0
d8ef313f-230e-4f97-864b-d27ef8ef51dc,PRD-0172,STR-050,2023-01-04,Sports & Outdoors,57.17,1157.26,0
6fd6b5ed-806b-442b-8c6d-33570e6d8e38,PRD-0185,STR-047,2023-01-04,Electronics,264.69,41.42,0
14925d10-1e35-4e15-8af0-de30f308feb1,PRD-0021,STR-038,2023-01-04,Automotive,231.43,1282.13,0
da4f94d7-9dca-428e-8162-37bbd2d53942,PRD-0027,STR-050,2023-01-06,Toys & Games,45.92,1783.46,0
8161f869-8432-4b58-a408-87cf416f1195,PRD-0044,STR-012,2023-01-04,Sports & Outdoors,189.27,1703.25,0
127fe93f-c474-424e-8dc7-5c475f4b42b7,PRD-0073,STR-022,2023-01-05,Toys & Games,153.26,1724.54,0
d79715d3-67aa-48e1-9419-afc899b44384,PRD-0040,STR-032,2023-01-05,Toys & Games,441.35,1741.49,1
9993c56e-6bb5-4e5c-af6d-a582d5e3bf6b,PRD-0113,STR-011,2023-01-05,Home & Garden,137.74,376.38,0
3e904066-0826-4558-ae93-a7258151690f,PRD-0043,STR-014,2023-01-06,Grocery,70.26,641.04,0
1e3f622a-6e96-4dac-abc2-8febd204cd09,PRD-0003,STR-031,2023-01-05,Electronics,250.53,572.16,0
114480c0-7457-4828-a206-56b85be9c887,PRD-0101,STR-025,2023-01-05,Grocery,267.46,245.75,1
bca8c77a-84e4-48fd-9b11-5ca9cf135020,PRD-0007,STR-021,2023-01-06,Electronics,146.39,132.66,0
75b36385-9c68-4300-b97c-6d36aee5795a,PRD-0138,STR-026,2023-01-07,Grocery,266.5,1535.86,0
e1344192-3941-40fe-ab18-92df234c7e4c,PRD-0055,STR-036,2023-01-06,Electronics,23.48,1065.36,0
